#--- Experiment --------------------------------------------------------------------------																													
#NAPTRAM20207																													
#																													
#--- System ------------------------------------------------------------------------------																													
#Data from PyroScience Workbench V1.2.0.1289   www.pyroscience.com																													
#DESKTOP-NLMRG3K																													
#--- Instrument --------------------------------------------------------------------------																													
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.04 Build:001																													
#--- Channel -----------------------------------------------------------------------------																													
#Channel [A Ch.1] - pH Sensor - XCF7-370-375																													
#--- Settings & Calibration --------------------------------------------------------------																													
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)									
#	16 ms	60% (F)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000									
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	12/28/2020	12/28/2020	12/28/2020	8.004747	1.033000	57.800000	-0.016300	-0.000521	-0.001255	0.000000	0.032500	623.000000	0.969700	0.126300	0.000000	0.000000	0.015149	21.820700	2.279249	23.401400	2.000000	623.228516	53.305950	10.034464	23.190350	6.500000	623.274719	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------																													
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																													
#Settings: n/a																													
#Calibration: n/a																													
#--- Channel -----------------------------------------------------------------------------																													
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																													
#--- Measurement Data --------------------------------------------------------------------																													
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment							
28-12-2020	15:13:22.018	0.037	8.031	8.031	32.280	237	0	623.334	OK	28-12-2020	15:13:22.018	0.037	18.561	OK	28-12-2020	15:13:52.083	30.103	18.566	OK										
28-12-2020	15:13:52.006	30.025	8.034	8.034	32.331	237	0	623.334	OK	28-12-2020	15:13:52.006	30.025	18.566	OK	28-12-2020	15:14:22.083	60.103	18.562	OK										
28-12-2020	15:14:22.006	60.025	8.038	8.038	32.403	236	0	623.332	OK	28-12-2020	15:14:22.006	60.025	18.561	OK	28-12-2020	15:14:52.084	90.103	18.559	OK										
28-12-2020	15:14:52.006	90.026	8.042	8.042	32.467	236	-2	623.334	OK	28-12-2020	15:14:52.006	90.026	18.559	OK	28-12-2020	15:15:22.084	120.104	18.557	OK										
28-12-2020	15:15:22.007	120.026	8.046	8.046	32.535	236	-1	623.330	OK	28-12-2020	15:15:22.007	120.026	18.557	OK	28-12-2020	15:15:52.084	150.104	18.555	OK										
28-12-2020	15:15:52.007	150.026	8.048	8.048	32.558	235	0	623.330	OK	28-12-2020	15:15:52.007	150.026	18.555	OK	28-12-2020	15:16:22.085	180.104	18.552	OK										
28-12-2020	15:16:22.007	180.027	8.049	8.049	32.570	235	0	623.330	OK	28-12-2020	15:16:22.007	180.027	18.552	OK	28-12-2020	15:16:52.084	210.104	18.549	OK										
28-12-2020	15:16:52.007	210.026	8.049	8.049	32.569	235	0	623.326	OK	28-12-2020	15:16:52.007	210.026	18.548	OK	28-12-2020	15:17:22.100	240.119	18.553	OK										
28-12-2020	15:17:22.007	240.026	8.053	8.053	32.647	235	1	623.326	OK	28-12-2020	15:17:22.007	240.026	18.553	OK	28-12-2020	15:17:52.084	270.103	18.552	OK										
28-12-2020	15:17:52.007	270.026	8.055	8.055	32.682	234	1	623.326	OK	28-12-2020	15:17:52.007	270.026	18.552	OK	28-12-2020	15:18:22.083	300.103	18.546	OK										
28-12-2020	15:18:22.007	300.026	8.058	8.058	32.727	234	0	623.323	OK	28-12-2020	15:18:22.007	300.026	18.546	OK	28-12-2020	15:18:52.083	330.103	18.551	OK										
28-12-2020	15:18:52.007	330.026	8.059	8.059	32.747	234	1	623.323	OK	28-12-2020	15:18:52.007	330.026	18.551	OK	28-12-2020	15:19:22.085	360.104	18.570	OK										
28-12-2020	15:19:22.007	360.026	8.061	8.061	32.776	234	0	623.323	OK	28-12-2020	15:19:22.007	360.026	18.571	OK	28-12-2020	15:19:52.082	390.101	18.584	OK										
28-12-2020	15:19:52.007	390.026	8.064	8.064	32.830	233	0	623.323	OK	28-12-2020	15:19:52.007	390.026	18.584	OK	28-12-2020	15:20:22.084	420.104	18.588	OK										
28-12-2020	15:20:22.007	420.026	8.062	8.062	32.811	233	0	623.320	OK	28-12-2020	15:20:22.007	420.026	18.588	OK	28-12-2020	15:20:52.085	450.104	18.580	OK										
28-12-2020	15:20:52.007	450.026	8.064	8.064	32.842	233	0	623.316	OK	28-12-2020	15:20:52.007	450.026	18.579	OK	28-12-2020	15:21:22.098	480.118	18.571	OK										
28-12-2020	15:21:22.007	480.026	8.064	8.064	32.829	233	0	623.316	OK	28-12-2020	15:21:22.007	480.026	18.571	OK	28-12-2020	15:21:52.084	510.103	18.572	OK										
28-12-2020	15:21:52.007	510.026	8.066	8.066	32.865	233	0	623.316	OK	28-12-2020	15:21:52.007	510.026	18.574	OK	28-12-2020	15:22:22.085	540.105	18.574	OK										
28-12-2020	15:22:22.007	540.027	8.066	8.066	32.873	233	-1	623.314	OK	28-12-2020	15:22:22.007	540.027	18.574	OK	28-12-2020	15:22:52.084	570.103	18.576	OK										
