#--- Experiment --------------------------------------------------------------------------
#SO289
#Starting 23/02/2022 at 23:43
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.8.1536   www.pyroscience.com
#DESKTOP-NLMRG3K
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH-SUB [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.05 Build:002
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.24°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
24-02-2022	03:45:08.594	15.157	20.604	OK
24-02-2022	03:45:23.594	30.157	20.605	OK
24-02-2022	03:45:38.593	45.156	20.605	OK
24-02-2022	03:45:53.593	60.156	20.610	OK
24-02-2022	03:46:08.594	75.157	20.611	OK
24-02-2022	03:46:23.594	90.157	20.606	OK
24-02-2022	03:46:38.594	105.157	20.595	OK
24-02-2022	03:46:53.595	120.158	20.599	OK
24-02-2022	03:47:08.595	135.158	20.605	OK
24-02-2022	03:47:23.596	150.159	20.603	OK
24-02-2022	03:47:38.597	165.159	20.598	OK
24-02-2022	03:47:53.595	180.158	20.598	OK
24-02-2022	03:48:08.597	195.159	20.605	OK
24-02-2022	03:48:23.596	210.159	20.601	OK
24-02-2022	03:48:38.596	225.159	20.600	OK
24-02-2022	03:48:53.596	240.159	20.603	OK
24-02-2022	03:49:08.597	255.160	20.601	OK
24-02-2022	03:49:23.597	270.160	20.606	OK
24-02-2022	03:49:38.596	285.159	20.603	OK
24-02-2022	03:49:53.596	300.159	20.604	OK
24-02-2022	03:50:08.598	315.161	20.608	OK
24-02-2022	03:50:23.597	330.160	20.605	OK
24-02-2022	03:50:38.596	345.159	20.608	OK
24-02-2022	03:50:53.596	360.159	20.606	OK
24-02-2022	03:51:08.597	375.160	20.597	OK
24-02-2022	03:51:23.598	390.161	20.610	OK
24-02-2022	03:51:38.597	405.160	20.614	OK
24-02-2022	03:51:53.597	420.160	20.615	OK
24-02-2022	03:52:08.597	435.160	20.627	OK
24-02-2022	03:52:23.598	450.161	20.618	OK
24-02-2022	03:52:38.598	465.161	20.624	OK
24-02-2022	03:52:53.598	480.161	20.615	OK
24-02-2022	03:53:08.603	495.166	20.617	OK
24-02-2022	03:53:23.597	510.160	20.614	OK
24-02-2022	03:53:38.598	525.161	20.614	OK
24-02-2022	03:53:53.598	540.161	20.618	OK
24-02-2022	03:54:08.597	555.160	20.626	OK
24-02-2022	03:54:23.599	570.162	20.629	OK
24-02-2022	03:54:38.599	585.162	20.623	OK
24-02-2022	03:54:53.599	600.162	20.626	OK
24-02-2022	03:55:08.600	615.163	20.626	OK
24-02-2022	03:55:23.600	630.163	20.626	OK
24-02-2022	03:55:38.601	645.163	20.628	OK
24-02-2022	03:55:53.602	660.164	20.633	OK
24-02-2022	03:56:08.599	675.162	20.634	OK
24-02-2022	03:56:23.599	690.162	20.631	OK
24-02-2022	03:56:38.600	705.163	20.637	OK
24-02-2022	03:56:53.601	720.164	20.634	OK
24-02-2022	03:57:08.603	735.166	20.635	OK
24-02-2022	03:57:23.601	750.164	20.643	OK
24-02-2022	03:57:38.599	765.162	20.638	OK
24-02-2022	03:57:53.601	780.164	20.644	OK
24-02-2022	03:58:08.599	795.162	20.644	OK
24-02-2022	03:58:23.601	810.164	20.644	OK
24-02-2022	03:58:38.603	825.166	20.642	OK
24-02-2022	03:58:53.602	840.165	20.643	OK
24-02-2022	03:59:08.602	855.165	20.652	OK
24-02-2022	03:59:23.602	870.165	20.650	OK
24-02-2022	03:59:38.601	885.164	20.647	OK
24-02-2022	03:59:53.602	900.165	20.652	OK
24-02-2022	04:00:08.605	915.168	20.652	OK
24-02-2022	04:00:23.602	930.165	20.655	OK
24-02-2022	04:00:38.602	945.165	20.652	OK
24-02-2022	04:00:53.602	960.165	20.656	OK
24-02-2022	04:01:08.603	975.166	20.653	OK
24-02-2022	04:01:23.602	990.165	20.659	OK
24-02-2022	04:01:38.603	1005.166	20.658	OK
24-02-2022	04:01:53.602	1020.165	20.656	OK
24-02-2022	04:02:08.603	1035.166	20.658	OK
24-02-2022	04:02:23.602	1050.165	20.664	OK
24-02-2022	04:02:38.603	1065.166	20.659	OK
24-02-2022	04:02:53.603	1080.166	20.662	OK
24-02-2022	04:03:08.604	1095.167	20.670	OK
24-02-2022	04:03:23.603	1110.166	20.667	OK
24-02-2022	04:03:38.604	1125.167	20.660	OK
24-02-2022	04:03:53.604	1140.167	20.672	OK
24-02-2022	04:04:08.605	1155.168	20.672	OK
24-02-2022	04:04:23.606	1170.168	20.666	OK
24-02-2022	04:04:38.607	1185.170	20.677	OK
24-02-2022	04:04:53.605	1200.168	20.666	OK
24-02-2022	04:05:08.607	1215.170	20.681	OK
24-02-2022	04:05:23.607	1230.170	20.676	OK
24-02-2022	04:05:38.607	1245.170	20.678	OK
24-02-2022	04:05:53.608	1260.171	20.677	OK
