#--- Experiment --------------------------------------------------------------------------
#SO289
#Starting 24/02/2022 at 18:12
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.8.1536   www.pyroscience.com
#DESKTOP-NLMRG3K
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH-SUB [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.05 Build:002
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XCF7-443-888
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	60% (F)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	0	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	22/02/2022	22/02/2022	01/01/2001	8.019000	1.033000	57.800000	-0.016300	-0.000521	-0.001255	0.000000	0.032500	623.000000	0.969700	0.126300	0.811000	0.000000	0.000000	21.629000	4.006000	19.223000	2.000000	622.544000	55.815000	11.081000	19.038000	6.000000	622.597000	1.623674	0.039389
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.24°C
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
24-02-2022	22:11:46.974	1.002	7.947	7.947	31.601	269	1	622.994	OK	24-02-2022	22:11:46.974	1.002	20.426	OK
24-02-2022	22:12:01.974	16.002	7.945	7.945	31.578	269	2	622.992	OK	24-02-2022	22:12:01.974	16.002	20.428	OK
24-02-2022	22:12:16.975	31.002	7.945	7.945	31.581	269	2	622.992	OK	24-02-2022	22:12:16.975	31.002	20.415	OK
24-02-2022	22:12:31.974	46.002	7.946	7.946	31.589	269	2	622.992	OK	24-02-2022	22:12:31.974	46.002	20.419	OK
24-02-2022	22:12:46.974	61.002	7.947	7.947	31.616	269	2	622.994	OK	24-02-2022	22:12:46.974	61.002	20.429	OK
24-02-2022	22:13:01.974	76.002	7.946	7.946	31.593	269	2	622.994	OK	24-02-2022	22:13:01.974	76.002	20.423	OK
24-02-2022	22:13:16.975	91.003	7.946	7.946	31.599	269	-2	622.994	OK	24-02-2022	22:13:16.975	91.003	20.428	OK
24-02-2022	22:13:31.974	106.002	7.946	7.946	31.591	269	-3	622.996	OK	24-02-2022	22:13:31.974	106.002	20.438	OK
24-02-2022	22:13:46.975	121.002	7.946	7.946	31.601	269	-1	622.992	OK	24-02-2022	22:13:46.975	121.002	20.440	OK
24-02-2022	22:14:01.975	136.003	7.946	7.946	31.600	269	0	622.994	OK	24-02-2022	22:14:01.975	136.003	20.437	OK
24-02-2022	22:14:16.975	151.002	7.947	7.947	31.611	269	1	622.996	OK	24-02-2022	22:14:16.975	151.002	20.434	OK
24-02-2022	22:14:31.975	166.003	7.945	7.945	31.577	269	1	622.996	OK	24-02-2022	22:14:31.975	166.003	20.427	OK
24-02-2022	22:14:46.976	181.004	7.945	7.945	31.577	269	-1	622.996	OK	24-02-2022	22:14:46.976	181.004	20.431	OK
24-02-2022	22:15:01.975	196.003	7.946	7.946	31.599	269	1	622.996	OK	24-02-2022	22:15:01.975	196.003	20.444	OK
24-02-2022	22:15:16.977	211.005	7.946	7.946	31.600	269	2	622.994	OK	24-02-2022	22:15:16.977	211.005	20.430	OK
24-02-2022	22:15:31.976	226.004	7.945	7.945	31.574	269	-3	622.996	OK	24-02-2022	22:15:31.976	226.004	20.424	OK
24-02-2022	22:15:46.977	241.005	7.946	7.946	31.594	269	-1	622.996	OK	24-02-2022	22:15:46.977	241.005	20.441	OK
24-02-2022	22:16:01.978	256.006	7.946	7.946	31.597	269	1	622.999	OK	24-02-2022	22:16:01.978	256.006	20.431	OK
24-02-2022	22:16:16.979	271.007	7.946	7.946	31.589	269	1	623.001	OK	24-02-2022	22:16:16.979	271.007	20.432	OK
24-02-2022	22:16:31.979	286.007	7.947	7.947	31.607	269	1	622.999	OK	24-02-2022	22:16:31.979	286.007	20.424	OK
24-02-2022	22:16:46.979	301.007	7.946	7.946	31.595	269	-1	622.999	OK	24-02-2022	22:16:46.979	301.007	20.431	OK
24-02-2022	22:17:01.980	316.008	7.947	7.947	31.607	269	-1	622.999	OK	24-02-2022	22:17:01.980	316.008	20.424	OK
24-02-2022	22:17:16.980	331.008	7.947	7.947	31.601	269	2	622.999	OK	24-02-2022	22:17:16.980	331.008	20.427	OK
24-02-2022	22:17:31.980	346.008	7.946	7.946	31.595	269	2	622.999	OK	24-02-2022	22:17:31.980	346.008	20.423	OK
24-02-2022	22:17:46.980	361.008	7.946	7.946	31.588	269	-1	623.001	OK	24-02-2022	22:17:46.980	361.008	20.427	OK
24-02-2022	22:18:01.980	376.008	7.947	7.947	31.601	269	0	622.996	OK	24-02-2022	22:18:01.980	376.008	20.419	OK
24-02-2022	22:18:16.980	391.008	7.947	7.947	31.599	269	2	623.001	OK	24-02-2022	22:18:16.980	391.008	20.422	OK
24-02-2022	22:18:31.980	406.008	7.945	7.945	31.578	269	-1	622.999	OK	24-02-2022	22:18:31.980	406.008	20.428	OK
24-02-2022	22:18:46.980	421.008	7.946	7.946	31.594	269	2	623.001	OK	24-02-2022	22:18:46.980	421.008	20.420	OK
24-02-2022	22:19:01.981	436.008	7.946	7.946	31.587	269	-1	623.001	OK	24-02-2022	22:19:01.981	436.008	20.429	OK
24-02-2022	22:19:16.981	451.009	7.946	7.946	31.587	269	1	622.999	OK	24-02-2022	22:19:16.981	451.009	20.429	OK
24-02-2022	22:19:31.981	466.009	7.947	7.947	31.594	269	1	623.003	OK	24-02-2022	22:19:31.981	466.009	20.418	OK
24-02-2022	22:19:46.981	481.009	7.945	7.945	31.574	269	-2	623.001	OK	24-02-2022	22:19:46.981	481.009	20.419	OK
24-02-2022	22:20:01.982	496.010	7.946	7.946	31.582	269	2	623.001	OK	24-02-2022	22:20:01.982	496.010	20.427	OK
24-02-2022	22:20:16.981	511.009	7.947	7.947	31.601	269	-2	623.001	OK	24-02-2022	22:20:16.981	511.009	20.415	OK
24-02-2022	22:20:31.981	526.009	7.946	7.946	31.579	269	2	623.003	OK	24-02-2022	22:20:31.981	526.009	20.420	OK
24-02-2022	22:20:46.981	541.009	7.945	7.945	31.565	269	0	623.003	OK	24-02-2022	22:20:46.981	541.009	20.422	OK
24-02-2022	22:21:01.981	556.009	7.946	7.946	31.594	269	1	623.003	OK	24-02-2022	22:21:01.981	556.009	20.419	OK
24-02-2022	22:21:16.981	571.008	7.946	7.946	31.586	269	2	623.003	OK	24-02-2022	22:21:16.981	571.008	20.414	OK
24-02-2022	22:21:31.981	586.009	7.947	7.947	31.591	269	-2	623.004	OK	24-02-2022	22:21:31.981	586.009	20.410	OK
24-02-2022	22:21:46.981	601.009	7.946	7.946	31.583	269	-1	623.003	OK	24-02-2022	22:21:46.981	601.009	20.417	OK
