#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.8.1536   www.pyroscience.com
#DESKTOP-NLMRG3K
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH-SUB [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.05 Build:002
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XCF7-443-888
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	60% (F)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	22/02/2022	22/02/2022	01/01/2001	8.019000	1.033000	57.800000	-0.016300	-0.000521	-0.001255	0.000000	0.032500	623.000000	0.969700	0.126300	0.811000	0.000000	0.000000	21.629000	4.006000	19.223000	2.000000	622.544000	55.815000	11.081000	19.038000	6.000000	622.597000	1.623674	0.039389
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.24°C
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
28-02-2022	23:00:37.492	11.825	7.935	7.935	31.410	253	0	623.053	OK	28-02-2022	23:00:37.492	11.825	20.520	OK
28-02-2022	23:00:52.492	26.825	7.934	7.934	31.401	253	0	623.053	OK	28-02-2022	23:00:52.492	26.825	20.516	OK
28-02-2022	23:01:07.492	41.825	7.935	7.935	31.404	253	0	623.053	OK	28-02-2022	23:01:07.492	41.825	20.519	OK
28-02-2022	23:01:22.492	56.825	7.934	7.934	31.400	253	0	623.053	OK	28-02-2022	23:01:22.492	56.825	20.526	OK
28-02-2022	23:01:37.492	71.825	7.935	7.935	31.404	253	0	623.053	OK	28-02-2022	23:01:37.492	71.825	20.521	OK
28-02-2022	23:01:52.492	86.826	7.934	7.934	31.398	253	0	623.053	OK	28-02-2022	23:01:52.492	86.826	20.519	OK
28-02-2022	23:02:07.493	101.826	7.935	7.935	31.407	253	0	623.053	OK	28-02-2022	23:02:07.493	101.826	20.522	OK
28-02-2022	23:02:22.493	116.827	7.935	7.935	31.407	253	0	623.053	OK	28-02-2022	23:02:22.493	116.827	20.522	OK
28-02-2022	23:02:37.493	131.827	7.935	7.935	31.405	253	0	623.055	OK	28-02-2022	23:02:37.493	131.827	20.519	OK
28-02-2022	23:02:52.493	146.827	7.934	7.934	31.402	253	0	623.053	OK	28-02-2022	23:02:52.493	146.827	20.521	OK
28-02-2022	23:03:07.494	161.828	7.934	7.934	31.403	253	0	623.053	OK	28-02-2022	23:03:07.494	161.828	20.521	OK
28-02-2022	23:03:22.494	176.828	7.935	7.935	31.406	253	0	623.055	OK	28-02-2022	23:03:22.494	176.828	20.518	OK
28-02-2022	23:03:37.494	191.828	7.935	7.935	31.406	253	0	623.053	OK	28-02-2022	23:03:37.494	191.828	20.518	OK
28-02-2022	23:03:52.494	206.828	7.935	7.935	31.406	252	0	623.055	OK	28-02-2022	23:03:52.494	206.828	20.520	OK
28-02-2022	23:04:07.495	221.828	7.934	7.934	31.398	253	0	623.055	OK	28-02-2022	23:04:07.495	221.828	20.520	OK
28-02-2022	23:04:22.494	236.827	7.934	7.934	31.401	253	0	623.051	OK	28-02-2022	23:04:22.494	236.827	20.514	OK
28-02-2022	23:04:37.495	251.828	7.935	7.935	31.409	253	0	623.053	OK	28-02-2022	23:04:37.495	251.828	20.522	OK
28-02-2022	23:04:52.495	266.829	7.934	7.934	31.402	253	0	623.053	OK	28-02-2022	23:04:52.495	266.829	20.520	OK
