#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.8.1536   www.pyroscience.com
#DESKTOP-NLMRG3K
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH-SUB [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.05 Build:002
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.24°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
28-02-2022	23:00:25.690	0.023	20.522	OK
28-02-2022	23:00:40.690	15.023	20.519	OK
28-02-2022	23:00:55.691	30.024	20.517	OK
28-02-2022	23:01:10.692	45.025	20.523	OK
28-02-2022	23:01:25.693	60.026	20.522	OK
28-02-2022	23:01:40.693	75.026	20.518	OK
28-02-2022	23:01:55.694	90.027	20.520	OK
28-02-2022	23:02:10.693	105.027	20.523	OK
28-02-2022	23:02:25.694	120.028	20.522	OK
28-02-2022	23:02:40.694	135.028	20.523	OK
28-02-2022	23:02:55.694	150.027	20.519	OK
28-02-2022	23:03:10.695	165.029	20.516	OK
28-02-2022	23:03:25.695	180.028	20.516	OK
28-02-2022	23:03:40.695	195.028	20.513	OK
28-02-2022	23:03:55.694	210.027	20.520	OK
28-02-2022	23:04:10.694	225.027	20.511	OK
28-02-2022	23:04:25.695	240.028	20.522	OK
28-02-2022	23:04:40.695	255.028	20.519	OK
28-02-2022	23:04:55.695	270.028	20.518	OK
28-02-2022	23:05:10.694	285.027	20.520	OK
28-02-2022	23:05:25.695	300.028	20.521	OK
28-02-2022	23:05:40.695	315.028	20.522	OK
28-02-2022	23:05:55.694	330.027	20.518	OK
28-02-2022	23:06:10.694	345.028	20.519	OK
28-02-2022	23:06:25.695	360.029	20.520	OK
28-02-2022	23:06:40.696	375.029	20.521	OK
28-02-2022	23:06:55.695	390.028	20.521	OK
28-02-2022	23:07:10.695	405.028	20.518	OK
28-02-2022	23:07:25.695	420.028	20.525	OK
28-02-2022	23:07:40.695	435.029	20.516	OK
28-02-2022	23:07:55.695	450.028	20.515	OK
28-02-2022	23:08:10.696	465.029	20.522	OK
28-02-2022	23:08:25.695	480.029	20.524	OK
28-02-2022	23:08:40.696	495.029	20.520	OK
28-02-2022	23:08:55.695	510.029	20.518	OK
28-02-2022	23:09:10.695	525.029	20.524	OK
28-02-2022	23:09:25.696	540.029	20.517	OK
28-02-2022	23:09:40.698	555.031	20.514	OK
28-02-2022	23:09:55.698	570.031	20.521	OK
28-02-2022	23:10:10.697	585.030	20.516	OK
28-02-2022	23:10:25.697	600.031	20.522	OK
28-02-2022	23:10:40.697	615.030	20.523	OK
28-02-2022	23:10:55.697	630.030	20.523	OK
28-02-2022	23:11:10.697	645.030	20.519	OK
28-02-2022	23:11:25.698	660.031	20.517	OK
28-02-2022	23:11:40.698	675.031	20.517	OK
28-02-2022	23:11:55.697	690.031	20.517	OK
28-02-2022	23:12:10.697	705.031	20.518	OK
28-02-2022	23:12:25.698	720.031	20.521	OK
