#--- Experiment --------------------------------------------------------------------------
#SO289_part_2
#Post emergency medical detour.
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.8.1536   www.pyroscience.com
#DESKTOP-NLMRG3K
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH-SUB [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.05 Build:002
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.24°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
24-03-2022	00:37:21.968	52.148	27.360	OK
24-03-2022	00:37:36.969	67.149	27.360	OK
24-03-2022	00:37:51.969	82.149	27.359	OK
24-03-2022	00:38:06.969	97.148	27.359	OK
24-03-2022	00:38:21.971	112.151	27.368	OK
24-03-2022	00:38:36.970	127.150	27.361	OK
24-03-2022	00:38:51.970	142.150	27.362	OK
24-03-2022	00:39:06.971	157.151	27.367	OK
24-03-2022	00:39:21.971	172.150	27.370	OK
24-03-2022	00:39:36.972	187.151	27.367	OK
24-03-2022	00:39:51.973	202.153	27.365	OK
24-03-2022	00:40:06.975	217.155	27.365	OK
24-03-2022	00:40:21.975	232.155	27.374	OK
24-03-2022	00:40:36.976	247.156	27.369	OK
24-03-2022	00:40:51.975	262.154	27.365	OK
24-03-2022	00:41:06.974	277.154	27.367	OK
24-03-2022	00:41:21.974	292.153	27.367	OK
24-03-2022	00:41:36.974	307.153	27.367	OK
24-03-2022	00:41:51.974	322.154	27.363	OK
24-03-2022	00:42:06.974	337.154	27.362	OK
24-03-2022	00:42:21.975	352.155	27.363	OK
24-03-2022	00:42:36.975	367.154	27.363	OK
24-03-2022	00:42:51.974	382.153	27.368	OK
24-03-2022	00:43:06.974	397.154	27.364	OK
24-03-2022	00:43:21.974	412.154	27.367	OK
24-03-2022	00:43:36.975	427.155	27.361	OK
24-03-2022	00:43:51.976	442.155	27.372	OK
24-03-2022	00:44:06.977	457.157	27.363	OK
24-03-2022	00:44:21.976	472.156	27.370	OK
24-03-2022	00:44:36.977	487.157	27.362	OK
24-03-2022	00:44:51.977	502.157	27.367	OK
24-03-2022	00:45:06.977	517.157	27.373	OK
24-03-2022	00:45:21.977	532.157	27.368	OK
24-03-2022	00:45:36.977	547.157	27.366	OK
24-03-2022	00:45:51.978	562.158	27.366	OK
24-03-2022	00:46:06.978	577.158	27.369	OK
24-03-2022	00:46:21.978	592.158	27.368	OK
24-03-2022	00:46:36.978	607.158	27.367	OK
24-03-2022	00:46:51.977	622.157	27.366	OK
24-03-2022	00:47:06.978	637.158	27.368	OK
24-03-2022	00:47:21.980	652.159	27.367	OK
24-03-2022	00:47:36.978	667.158	27.365	OK
24-03-2022	00:47:51.978	682.158	27.373	OK
24-03-2022	00:48:06.979	697.158	27.362	OK
24-03-2022	00:48:21.979	712.159	27.369	OK
24-03-2022	00:48:36.978	727.158	27.365	OK
24-03-2022	00:48:51.978	742.158	27.366	OK
24-03-2022	00:49:06.978	757.158	27.367	OK
24-03-2022	00:49:21.978	772.158	27.367	OK
24-03-2022	00:49:36.978	787.157	27.363	OK
24-03-2022	00:49:51.978	802.158	27.373	OK
24-03-2022	00:50:06.978	817.158	27.357	OK
24-03-2022	00:50:21.979	832.158	27.363	OK
24-03-2022	00:50:36.984	847.163	27.365	OK
24-03-2022	00:50:51.979	862.159	27.374	OK
24-03-2022	00:51:06.979	877.159	27.368	OK
24-03-2022	00:51:21.979	892.158	27.368	OK
24-03-2022	00:51:36.979	907.158	27.368	OK
24-03-2022	00:51:51.979	922.159	27.366	OK
24-03-2022	00:52:06.979	937.158	27.372	OK
24-03-2022	00:52:21.979	952.158	27.370	OK
24-03-2022	00:52:36.978	967.158	27.366	OK
24-03-2022	00:52:51.978	982.158	27.366	OK
24-03-2022	00:53:06.978	997.158	27.365	OK
24-03-2022	00:53:21.979	1012.159	27.376	OK
24-03-2022	00:53:36.979	1027.158	27.369	OK
24-03-2022	00:53:51.985	1042.165	27.369	OK
24-03-2022	00:54:06.979	1057.159	27.372	OK
24-03-2022	00:54:21.980	1072.159	27.369	OK
24-03-2022	00:54:36.980	1087.160	27.377	OK
24-03-2022	00:54:51.980	1102.160	27.370	OK
24-03-2022	00:55:06.980	1117.159	27.373	OK
24-03-2022	00:55:21.979	1132.159	27.377	OK
