#--- Experiment --------------------------------------------------------------------------																													
#64PE513pH_section2																													
#Computer unexpectedly turned off, restarted without recalibration																													
#--- System ------------------------------------------------------------------------------																													
#Data from PyroScience Workbench V1.3.9.2140   www.pyroscience.com																													
#DESKTOP-NLMRG3K																													
#--- Instrument --------------------------------------------------------------------------																													
#Device: Pico-pH-SUB [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.06 Build:002																													
#--- Channel -----------------------------------------------------------------------------																													
#Channel [A Ch.1] - pH Sensor - XCF7-432-890																													
#--- Settings & Calibration --------------------------------------------------------------																													
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)									
#	16 ms	60% (F)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000									
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	12/02/2023	12/02/2023	12/02/2023	8.017000	1.028000	57.800000	-0.015400	-0.001480	-0.002470	0.000000	0.032500	623.000000	0.969700	0.126300	0.811000	0.000000	-0.011000	18.880000	2.285000	22.767000	2.000000	623.361000	56.154000	11.177000	23.374000	6.000000	623.354000	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------																													
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																													
#Settings: n/a																													
#Calibration: n/a																													
#--- Channel -----------------------------------------------------------------------------																													
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																													
#--- Measurement Data --------------------------------------------------------------------																													
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment							
15-02-2023	09:10:30.984	5.924	8.018	8.018	31.164	219	0	623.267	OK	15-02-2023	09:10:30.984	5.924	23.045	OK	15-02-2023	09:10:25.080	0.020	23.044	OK										
15-02-2023	09:10:45.984	20.924	8.018	8.018	31.167	220	0	623.269	OK	15-02-2023	09:10:45.984	20.924	23.064	OK	15-02-2023	09:10:40.081	15.021	23.057	OK										
15-02-2023	09:11:00.984	35.924	8.018	8.018	31.171	219	0	623.273	OK	15-02-2023	09:11:00.984	35.924	23.073	OK	15-02-2023	09:10:55.080	30.021	23.069	OK										
15-02-2023	09:11:15.984	50.924	8.017	8.017	31.159	219	0	623.275	OK	15-02-2023	09:11:15.984	50.924	23.080	OK	15-02-2023	09:11:10.081	45.021	23.075	OK										
15-02-2023	09:11:30.984	65.924	8.017	8.017	31.159	220	0	623.277	OK	15-02-2023	09:11:30.984	65.924	23.077	OK	15-02-2023	09:11:25.080	60.021	23.078	OK										
15-02-2023	09:11:45.984	80.925	8.018	8.018	31.174	219	0	623.282	OK	15-02-2023	09:11:45.984	80.925	23.078	OK	15-02-2023	09:11:40.080	75.021	23.073	OK										
15-02-2023	09:12:00.984	95.924	8.018	8.018	31.170	219	0	623.283	OK	15-02-2023	09:12:00.984	95.924	23.066	OK	15-02-2023	09:11:55.080	90.020	23.070	OK										
15-02-2023	09:12:15.987	110.927	8.019	8.019	31.167	219	0	623.289	OK	15-02-2023	09:12:15.987	110.927	23.038	OK	15-02-2023	09:12:10.081	105.021	23.049	OK										
15-02-2023	09:12:30.984	125.925	8.020	8.020	31.174	219	0	623.289	OK	15-02-2023	09:12:30.984	125.925	23.015	OK	15-02-2023	09:12:25.080	120.020	23.025	OK										
15-02-2023	09:12:45.984	140.925	8.020	8.020	31.167	219	0	623.293	OK	15-02-2023	09:12:45.984	140.925	22.996	OK	15-02-2023	09:12:40.080	135.021	23.001	OK										
15-02-2023	09:13:00.985	155.925	8.020	8.020	31.172	219	0	623.295	OK	15-02-2023	09:13:00.985	155.925	22.985	OK	15-02-2023	09:12:55.081	150.022	22.984	OK										
15-02-2023	09:13:15.985	170.925	8.020	8.020	31.158	219	0	623.296	OK	15-02-2023	09:13:15.985	170.925	22.959	OK	15-02-2023	09:13:10.080	165.021	22.961	OK										
15-02-2023	09:13:30.985	185.926	8.020	8.020	31.157	219	0	623.298	OK	15-02-2023	09:13:30.985	185.926	22.931	OK	15-02-2023	09:13:25.081	180.021	22.944	OK										
15-02-2023	09:13:45.986	200.927	8.021	8.021	31.163	219	0	623.298	OK	15-02-2023	09:13:45.986	200.927	22.911	OK	15-02-2023	09:13:40.082	195.022	22.919	OK										
15-02-2023	09:14:00.987	215.927	8.021	8.021	31.157	219	0	623.303	OK	15-02-2023	09:14:00.987	215.927	22.893	OK	15-02-2023	09:13:55.087	210.027	22.893	OK										
